Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,685,1,1995-11-03,CHI,,CHH,W 105-91,*,39:00,16,29,.552,3,7,.429,13,22,.591,.603,7,9,.778,1,5,6,7,0,0,1,4,42,31.8
2,686,2,1995-11-04,CHI,,BOS,W 107-85,*,21:00,5,12,.417,0,1,.000,5,11,.455,.417,5,7,.714,0,0,0,3,3,1,0,4,15,12.0
3,687,3,1995-11-07,CHI,,TOR,W 117-108,*,40:00,13,19,.684,3,4,.750,10,15,.667,.763,9,9,1.000,1,3,4,5,4,0,1,2,38,37.2
4,688,4,1995-11-09,CHI,@,CLE,W 106-88,*,37:00,12,24,.500,4,8,.500,8,16,.500,.583,1,2,.500,0,5,5,3,0,0,3,3,29,16.0
5,689,5,1995-11-11,CHI,,POR,W 110-106,*,40:00,11,23,.478,0,2,.000,11,21,.524,.478,14,15,.933,2,1,3,7,1,1,3,3,36,28.0
6,690,6,1995-11-14,CHI,@,ORL,L 88-94,*,40:00,8,20,.400,3,7,.429,5,13,.385,.475,4,5,.800,2,5,7,6,2,0,2,4,23,17.3
7,691,7,1995-11-15,CHI,,CLE,W 113-94,*,29:00,7,10,.700,1,2,.500,6,8,.750,.750,5,7,.714,1,6,7,2,1,0,1,2,20,18.1
8,692,8,1995-11-17,CHI,,NJN,W 109-94,*,35:00,7,16,.438,0,1,.000,7,15,.467,.438,4,4,1.000,1,2,3,3,4,0,5,3,18,10.8
9,693,9,1995-11-21,CHI,@,DAL,W 108-102 (OT),*,45:00,12,25,.480,0,2,.000,12,23,.522,.480,12,13,.923,0,8,8,5,2,2,0,3,36,31.0
10,694,10,1995-11-22,CHI,@,SAS,W 103-94,*,43:00,15,27,.556,1,1,1.000,14,26,.538,.574,7,8,.875,2,7,9,2,4,0,5,5,38,26.6
11,695,11,1995-11-24,CHI,@,UTA,W 90-85,*,40:00,9,21,.429,2,5,.400,7,16,.438,.476,14,17,.824,0,8,8,6,1,0,4,3,34,24.1
12,696,12,1995-11-26,CHI,@,SEA,L 92-97,*,40:00,6,19,.316,0,4,.000,6,15,.400,.316,10,11,.909,2,3,5,4,2,0,4,1,22,13.4
13,697,13,1995-11-27,CHI,@,POR,W 107-104,*,41:00,13,22,.591,0,3,.000,13,19,.684,.591,7,8,.875,1,2,3,8,4,0,4,3,33,28.1
14,698,14,1995-11-30,CHI,@,VAN,W 94-88,*,39:00,14,26,.538,0,2,.000,14,24,.583,.538,1,2,.500,1,2,3,4,3,0,2,1,29,20.7
15,699,15,1995-12-02,CHI,@,LAC,W 104-98,*,43:00,13,22,.591,0,2,.000,13,20,.650,.591,11,14,.786,5,6,11,5,4,1,2,3,37,35.9
16,700,16,1995-12-06,CHI,,NYK,W 101-94,*,45:00,8,27,.296,0,0,,8,27,.296,.296,6,6,1.000,0,3,3,8,0,0,0,3,22,11.6
17,701,17,1995-12-08,CHI,,SAS,W 106-87,*,36:00,11,23,.478,0,1,.000,11,22,.500,.478,6,6,1.000,1,4,5,6,3,1,1,4,28,23.5
18,702,18,1995-12-09,CHI,@,MIL,W 118-106,*,42:00,16,28,.571,0,0,,16,28,.571,.571,13,16,.813,3,2,5,4,2,0,2,3,45,34.9
19,703,19,1995-12-13,CHI,,ORL,W 112-103,*,43:00,15,30,.500,4,7,.571,11,23,.478,.567,2,6,.333,3,3,6,2,2,1,4,3,36,21.3
20,704,20,1995-12-14,CHI,@,ATL,W 127-108,*,31:00,8,16,.500,1,4,.250,7,12,.583,.531,5,5,1.000,1,2,3,1,0,0,3,3,22,11.8
21,705,21,1995-12-16,CHI,,LAL,W 108-88,*,38:00,5,20,.250,0,1,.000,5,19,.263,.250,10,10,1.000,2,5,7,6,5,1,3,2,20,17.0
22,706,22,1995-12-18,CHI,@,BOS,W 123-114,*,40:00,16,27,.593,0,1,.000,16,26,.615,.593,5,8,.625,0,6,6,3,5,0,2,2,37,29.4
23,707,23,1995-12-19,CHI,,DAL,W 114-101,*,36:00,12,23,.522,0,1,.000,12,22,.545,.522,8,8,1.000,1,3,4,4,1,0,0,1,32,25.7
24,708,24,1995-12-22,CHI,,TOR,W 113-104,*,40:00,9,19,.474,2,3,.667,7,16,.438,.526,7,7,1.000,3,7,10,5,3,0,2,1,27,25.6
25,709,25,1995-12-23,CHI,,UTA,W 100-86,*,37:00,12,22,.545,1,2,.500,11,20,.550,.568,5,5,1.000,1,6,7,8,3,1,2,2,30,28.4
26,710,26,1995-12-26,CHI,@,IND,L 97-103,*,43:00,11,28,.393,1,2,.500,10,26,.385,.411,7,9,.778,2,8,10,4,1,2,2,3,30,19.8
27,711,27,1995-12-29,CHI,,IND,W 120-93,*,36:00,8,20,.400,0,2,.000,8,18,.444,.400,13,18,.722,3,4,7,3,3,0,4,4,29,19.0
28,712,28,1995-12-30,CHI,,ATL,W 95-93,*,42:00,14,27,.519,1,2,.500,13,25,.520,.537,4,6,.667,2,5,7,6,4,1,5,3,33,24.5
29,713,29,1996-01-03,CHI,,HOU,W 100-86,*,40:00,17,29,.586,1,1,1.000,16,28,.571,.603,3,4,.750,3,5,8,5,3,0,1,3,38,32.0
30,714,30,1996-01-04,CHI,@,CHH,W 117-93,*,34:00,11,20,.550,0,1,.000,11,19,.579,.550,5,7,.714,1,4,5,5,1,0,1,1,27,21.6
31,715,31,1996-01-06,CHI,,MIL,W 113-84,*,37:00,10,20,.500,2,4,.500,8,16,.500,.550,10,12,.833,1,1,2,3,3,1,0,2,32,27.2
32,716,32,1996-01-10,CHI,,SEA,W 113-87,*,36:00,14,25,.560,1,2,.500,13,23,.565,.580,6,7,.857,1,13,14,5,0,1,4,2,35,26.7
33,717,33,1996-01-13,CHI,@,PHI,W 120-93,*,34:00,18,28,.643,5,7,.714,13,21,.619,.732,7,7,1.000,3,7,10,2,1,1,2,1,48,40.5
34,718,34,1996-01-15,CHI,@,WSB,W 116-109,*,39:00,16,31,.516,3,7,.429,13,24,.542,.565,11,11,1.000,0,4,4,2,1,0,5,5,46,27.3
35,719,35,1996-01-16,CHI,,PHI,W 116-104,*,32:00,13,22,.591,2,6,.333,11,16,.688,.636,4,6,.667,3,4,7,2,3,0,1,1,32,27.3
36,720,36,1996-01-18,CHI,@,TOR,W 92-89,*,43:00,14,28,.500,4,8,.500,10,20,.500,.571,6,8,.750,4,5,9,2,1,0,1,0,38,28.9
37,721,37,1996-01-21,CHI,@,DET,W 111-96,*,43:00,12,23,.522,3,5,.600,9,18,.500,.587,9,11,.818,3,5,8,4,2,1,3,1,36,29.6
38,722,38,1996-01-23,CHI,@,NYK,W 99-79,*,36:00,13,23,.565,3,4,.750,10,19,.526,.630,4,5,.800,1,5,6,4,3,0,2,1,33,27.3
39,723,39,1996-01-24,CHI,,VAN,W 104-84,*,26:00,4,10,.400,0,1,.000,4,9,.444,.400,4,6,.667,1,2,3,6,0,0,1,4,12,8.7
40,724,40,1996-01-26,CHI,,MIA,W 102-80,*,35:00,10,21,.476,1,3,.333,9,18,.500,.500,4,5,.800,4,5,9,4,3,2,8,4,25,15.8
41,725,41,1996-01-28,CHI,,PHO,W 93-82,*,42:00,13,25,.520,0,2,.000,13,23,.565,.520,5,7,.714,3,3,6,6,3,1,2,5,31,24.8
42,726,42,1996-01-30,CHI,@,HOU,W 98-87,*,43:00,7,26,.269,1,6,.167,6,20,.300,.288,7,8,.875,3,5,8,1,4,0,2,3,22,11.3
43,727,43,1996-02-01,CHI,@,SAC,W 105-85,*,38:00,7,16,.438,0,1,.000,7,15,.467,.438,13,14,.929,0,2,2,1,2,1,4,4,27,16.6
44,728,44,1996-02-02,CHI,@,LAL,W 99-84,*,39:00,8,17,.471,0,0,,8,17,.471,.471,1,1,1.000,3,4,7,7,1,0,3,2,17,13.7
45,729,45,1996-02-04,CHI,@,DEN,L 99-105,*,42:00,13,29,.448,4,7,.571,9,22,.409,.517,9,11,.818,0,3,3,4,3,1,4,1,39,26.1
46,730,46,1996-02-06,CHI,@,PHO,L 96-106,*,40:00,9,22,.409,0,2,.000,9,20,.450,.409,10,17,.588,2,0,2,6,3,0,3,5,28,17.0
47,731,47,1996-02-07,CHI,@,GSW,W 99-95,*,46:00,15,31,.484,0,0,,15,31,.484,.484,10,13,.769,6,5,11,6,3,2,2,3,40,34.2
48,732,48,1996-02-13,CHI,,WSB,W 111-98,*,36:00,11,23,.478,2,3,.667,9,20,.450,.522,8,10,.800,2,7,9,3,0,0,4,2,32,20.3
49,733,49,1996-02-15,CHI,@,DET,W 112-109 (OT),*,49:00,10,30,.333,0,1,.000,10,29,.345,.333,12,12,1.000,2,6,8,5,3,0,1,2,32,22.9
50,734,50,1996-02-16,CHI,@,MIN,W 103-100,*,38:00,13,23,.565,4,4,1.000,9,19,.474,.652,5,5,1.000,1,6,7,4,0,1,2,1,35,27.7
51,735,51,1996-02-18,CHI,@,IND,W 110-102,*,42:00,16,29,.552,3,4,.750,13,25,.520,.603,9,10,.900,4,1,5,7,3,2,3,2,44,38.3
52,736,52,1996-02-20,CHI,,CLE,W 102-76,*,35:00,6,19,.316,0,0,,6,19,.316,.316,2,3,.667,3,6,9,6,0,0,0,3,14,9.6
53,737,53,1996-02-22,CHI,@,ATL,W 96-91,*,43:00,15,26,.577,2,2,1.000,13,24,.542,.615,2,2,1.000,1,2,3,3,0,1,2,0,34,23.9
54,738,54,1996-02-23,CHI,@,MIA,L 104-113,*,40:00,9,21,.429,1,4,.250,8,17,.471,.452,12,13,.923,3,6,9,5,4,0,3,4,31,26.3
55,739,55,1996-02-25,CHI,,ORL,W 111-91,*,40:00,8,19,.421,1,1,1.000,7,18,.389,.447,6,8,.750,2,3,5,7,2,0,1,2,23,19.5
56,740,56,1996-02-27,CHI,,MIN,W 120-99,*,41:00,11,24,.458,2,3,.667,9,21,.429,.500,11,12,.917,2,4,6,7,2,0,1,2,35,29.9
57,741,57,1996-03-01,CHI,,GSW,W 110-87,*,35:00,7,17,.412,1,3,.333,6,14,.429,.441,2,3,.667,0,3,3,6,6,0,3,1,17,15.2
58,742,58,1996-03-02,CHI,,BOS,W 107-75,*,32:00,8,15,.533,0,2,.000,8,13,.615,.533,5,8,.625,3,5,8,8,4,1,1,0,21,25.4
59,743,59,1996-03-05,CHI,,MIL,W 115-106,*,32:00,12,20,.600,4,5,.800,8,15,.533,.700,5,6,.833,4,4,8,4,2,0,3,0,33,29.2
60,744,60,1996-03-07,CHI,,DET,W 102-81,*,38:00,21,28,.750,2,4,.500,19,24,.792,.786,9,10,.900,2,9,11,2,6,0,4,3,53,47.7
61,745,61,1996-03-10,CHI,@,NYK,L 72-104,*,43:00,12,26,.462,2,4,.500,10,22,.455,.500,6,7,.857,1,7,8,3,1,1,7,3,32,16.6
62,746,62,1996-03-13,CHI,,WSB,W 103-86,*,36:00,12,25,.480,2,6,.333,10,19,.526,.520,11,12,.917,0,6,6,5,1,0,3,2,37,26.4
63,747,63,1996-03-15,CHI,,DEN,W 108-87,*,36:00,14,22,.636,3,5,.600,11,17,.647,.705,2,3,.667,0,6,6,3,3,2,3,2,33,27.3
64,748,64,1996-03-16,CHI,@,NJN,W 97-93,*,43:00,14,29,.483,2,5,.400,12,24,.500,.517,7,7,1.000,2,14,16,5,1,3,0,4,37,32.9
65,749,65,1996-03-18,CHI,@,PHI,W 98-94,*,47:00,15,32,.469,0,5,.000,15,27,.556,.469,8,10,.800,2,9,11,4,1,0,2,5,38,24.7
66,750,66,1996-03-19,CHI,,SAC,W 89-67,*,35:00,7,16,.438,0,3,.000,7,13,.538,.438,6,6,1.000,2,7,9,3,2,0,6,3,20,12.0
67,751,67,1996-03-21,CHI,,NYK,W 107-86,*,37:00,14,24,.583,1,4,.250,13,20,.650,.604,7,7,1.000,0,11,11,5,1,0,1,3,36,30.4
68,752,68,1996-03-24,CHI,@,TOR,L 108-109,*,39:00,14,22,.636,0,1,.000,14,21,.667,.636,8,8,1.000,5,4,9,2,0,2,2,3,36,30.5
69,753,69,1996-03-28,CHI,,ATL,W 111-80,*,30:00,5,12,.417,0,1,.000,5,11,.455,.417,3,6,.500,0,5,5,7,1,1,0,3,13,12.3
70,754,70,1996-03-30,CHI,,LAC,W 106-85,*,34:00,6,15,.400,0,1,.000,6,14,.429,.400,9,10,.900,4,5,9,6,2,0,1,1,21,21.6
71,755,71,1996-04-02,CHI,@,MIA,W 110-92,*,37:00,11,23,.478,2,3,.667,9,20,.450,.522,8,8,1.000,1,7,8,3,2,0,1,4,32,24.6
72,756,72,1996-04-04,CHI,,MIA,W 100-92,*,41:00,13,24,.542,1,4,.250,12,20,.600,.563,13,16,.813,3,4,7,3,4,2,4,2,40,33.2
73,757,73,1996-04-05,CHI,@,CHH,W 126-92,*,28:00,10,16,.625,2,2,1.000,8,14,.571,.688,2,3,.667,0,5,5,4,3,0,3,0,24,20.7
74,758,74,1996-04-07,CHI,@,ORL,W 90-86,*,44:00,10,30,.333,2,4,.500,8,26,.308,.367,5,5,1.000,1,2,3,1,2,0,1,2,27,12.2
75,759,75,1996-04-08,CHI,,CHH,L 97-98,*,42:00,13,27,.481,1,3,.333,12,24,.500,.500,13,19,.684,4,7,11,5,1,0,1,2,40,31.5
76,760,76,1996-04-11,CHI,@,NJN,W 113-100,*,26:00,8,18,.444,0,1,.000,8,17,.471,.444,1,4,.250,3,4,7,3,3,0,3,0,17,11.8
77,761,77,1996-04-12,CHI,,PHI,W 112-82,*,29:00,10,16,.625,2,4,.500,8,12,.667,.688,1,1,1.000,2,1,3,0,4,1,2,2,23,19.4
78,762,78,1996-04-14,CHI,@,CLE,W 98-72,*,35:00,11,18,.611,4,7,.571,7,11,.636,.722,6,6,1.000,3,9,12,3,1,0,3,0,32,28.7
79,763,79,1996-04-16,CHI,@,MIL,W 86-80,*,42:00,9,27,.333,1,4,.250,8,23,.348,.352,3,4,.750,1,8,9,4,2,1,4,1,22,10.5
80,764,80,1996-04-18,CHI,,DET,W 110-79,*,24:00,11,18,.611,4,5,.800,7,13,.538,.722,4,4,1.000,1,4,5,1,1,0,2,1,30,23.0
81,765,81,1996-04-20,CHI,,IND,L 99-100,*,31:00,9,23,.391,2,5,.400,7,18,.389,.435,4,5,.800,0,2,2,6,1,1,3,4,24,13.0
82,766,82,1996-04-21,CHI,@,WSB,W 103-93,*,24:00,11,22,.500,1,3,.333,10,19,.526,.523,3,3,1.000,1,3,4,4,4,0,1,0,26,22.4
,,,,,,,72-10,82,3090,916,1850,.495,111,260,.427,805,1590,.506,.525,548,657,.834,148,395,543,352,180,42,197,195,2491,23.4